experiment,model,n_features,mae_kw,rmse_kw,r2,inference_ms_per_sample,serialized_size_kb
full_features,extra_trees,18,13.682398808166251,25.78059242214102,0.7806688937431832,0.08556616601573808,23957.7392578125
no_temporal_features,extra_trees,11,14.007817759541599,26.56083424448365,0.76719201798227,0.08702293945317408,23979.015625
no_grid_state_features,extra_trees,13,13.662172340788358,26.224318586465607,0.773053824820592,0.06652952929675493,24181.6787109375
no_communication_features,extra_trees,15,14.51273373531915,29.83121859836281,0.7063321306387573,0.0644651093750781,27444.1806640625
